City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2015-07-07,42.68,0.0,11.08,10.87,9.74,4.44,9.74,20.82,0.0,226.0
Ahmedabad,2015-07-08,48.12,0.0,20.3,6.77,7.14,12.78,7.14,27.45,0.0,173.0
Ahmedabad,2015-07-09,29.52,0.0,14.88,8.56,16.94,40.65,16.94,31.82,0.0,301.0
Ahmedabad,2015-07-10,92.12,0.0,32.5,31.75,18.21,29.97,18.21,50.71,0.0,397.0
Ahmedabad,2015-07-11,135.85099999999997,0.0,29.04,29.18,9.39,33.21,9.39,38.43,0.0,381.0
Ahmedabad,2015-07-12,135.85099999999997,0.0,29.04,29.18,9.39,33.21,9.39,38.43,0.0,381.0
Ahmedabad,2015-08-01,135.85099999999997,0.0,36.74,38.54,59.355999999999995,31.89,59.355999999999995,96.75,0.0,381.0
Ahmedabad,2015-08-02,74.28,0.0,27.3,54.28,8.92,47.42,8.92,33.42,0.0,379.0
Ahmedabad,2015-08-03,71.56,0.0,16.83,30.28,3.51,57.16,3.51,20.32,0.0,190.0
Ahmedabad,2015-08-04,135.85099999999997,0.0,30.69,66.39,15.82,27.34,15.82,46.1,0.0,378.0
Ahmedabad,2015-08-05,38.73,0.0,19.28,20.13,8.0,25.7,8.0,26.61,0.0,177.0
Ahmedabad,2015-08-06,44.75,0.0,16.53,9.89,7.76,8.07,7.76,24.29,0.0,191.0
Ahmedabad,2015-08-07,38.45,0.0,7.8,10.28,10.55,3.24,10.55,18.35,0.0,241.0
Ahmedabad,2015-08-08,37.09,0.0,20.21,8.66,7.22,7.94,7.22,27.42,0.0,175.0
Ahmedabad,2015-08-09,15.53,0.0,14.85,15.13,17.0,34.18,17.0,31.85,0.0,301.0
Ahmedabad,2015-08-10,94.02,0.0,36.97,24.88,27.14,23.51,27.14,64.11,0.0,517.0
Ahmedabad,2015-08-11,127.64,0.0,31.91,26.94,6.74,47.33,6.74,38.64,0.0,355.0
Ahmedabad,2015-08-12,127.64,0.0,31.91,26.94,6.74,47.33,6.74,38.64,0.0,355.0
Ahmedabad,2015-09-01,127.64,0.0,31.0,58.68,29.16,25.75,29.16,48.0,0.0,355.0
Ahmedabad,2015-09-02,113.93,0.0,24.27,48.73,4.32,39.94,4.32,26.86,0.0,341.0
Ahmedabad,2015-09-03,119.8,0.0,24.07,50.35,4.13,50.49,4.13,27.9,0.0,233.0
Ahmedabad,2015-09-04,85.03,0.0,26.7,59.16,3.3,35.89,3.3,27.41,0.0,415.0
Ahmedabad,2015-09-05,61.12,0.0,17.82,39.69,9.94,25.9,9.94,27.18,0.0,201.0
Ahmedabad,2015-09-06,38.11,0.0,11.62,3.13,7.41,6.69,7.41,19.03,0.0,184.0
Ahmedabad,2015-09-07,46.69,0.0,0.17,10.25,11.48,5.76,11.48,11.64,0.0,222.0
Ahmedabad,2015-09-08,33.4,0.0,20.09,9.95,7.4,8.39,7.4,27.5,0.0,179.0
Ahmedabad,2015-09-09,57.51,0.0,50.9,8.73,16.31,15.39,16.31,67.22,0.0,179.0
Ahmedabad,2015-09-10,135.85099999999997,0.0,34.86,26.35,15.9,31.96,15.9,50.77,0.0,653.0
Ahmedabad,2015-09-11,135.85099999999997,0.0,34.86,26.35,15.9,31.96,15.9,50.77,0.0,653.0
Ahmedabad,2015-09-12,135.85099999999997,0.0,34.86,26.35,15.9,31.96,15.9,50.77,0.0,653.0
Ahmedabad,2015-10-01,135.85099999999997,0.0,7.04,8.29,15.9,4.55,15.9,0.0,0.0,653.0
Ahmedabad,2015-10-02,105.39,0.0,18.21,35.91,1.41,56.15,1.41,18.75,0.0,256.0
Ahmedabad,2015-10-03,106.71,0.0,25.59,38.85,5.39,60.17,5.39,30.51,0.0,297.0
Ahmedabad,2015-10-04,134.6,0.0,26.27,34.53,5.9,7.0,5.9,28.7,0.0,297.0
Ahmedabad,2015-10-05,58.44,0.0,17.24,54.69,10.68,18.89,10.68,27.38,0.0,211.0
Ahmedabad,2015-10-06,45.5,0.0,15.59,0.76,8.56,3.82,8.56,24.15,0.0,220.0
Ahmedabad,2015-10-07,55.27,0.0,0.12,12.7,11.55,6.55,11.55,11.66,0.0,223.0
Ahmedabad,2015-10-08,38.64,0.0,20.21,9.74,7.35,6.28,7.35,27.55,0.0,174.0
Ahmedabad,2015-10-09,50.24,0.0,12.31,11.63,9.46,13.61,9.46,21.77,0.0,226.0
Ahmedabad,2015-10-10,118.91,0.0,29.22,79.47,5.42,24.89,5.42,34.64,0.0,355.0
Ahmedabad,2015-10-11,118.91,0.0,29.22,79.47,5.42,24.89,5.42,34.64,0.0,355.0
Ahmedabad,2015-10-12,118.91,0.0,29.22,79.47,5.42,24.89,5.42,34.64,0.0,355.0
Ahmedabad,2015-11-01,118.91,0.0,55.8,25.03,59.355999999999995,6.79,59.355999999999995,24.53,0.0,355.0
Ahmedabad,2015-11-02,66.52,0.0,23.8,66.58,6.34,53.14,6.34,28.24,0.0,388.0
Ahmedabad,2015-11-03,118.49,0.0,28.94,54.2,4.11,53.61,4.11,31.83,0.0,330.0
Ahmedabad,2015-11-04,61.06,0.0,14.03,8.08,3.52,19.54,3.52,17.59,0.0,126.0
Ahmedabad,2015-11-05,61.49,0.0,16.69,42.66,11.44,18.2,11.44,27.61,0.0,221.0
Ahmedabad,2015-11-06,36.98,0.0,11.52,0.52,8.21,5.17,8.21,19.74,0.0,215.0
Ahmedabad,2015-11-07,135.85099999999997,0.0,0.16,10.07,11.49,7.27,11.49,11.65,0.0,248.0
Ahmedabad,2015-11-08,40.49,0.0,20.23,8.92,7.48,21.51,7.48,27.71,0.0,176.0
Ahmedabad,2015-11-09,61.77,0.0,15.43,8.1,8.68,18.69,8.68,24.1,0.0,276.0
Ahmedabad,2015-11-10,91.41,0.0,23.45,25.44,5.19,6.25,5.19,28.63,0.0,227.0
Ahmedabad,2015-11-11,91.41,0.0,23.45,25.44,5.19,6.25,5.19,28.63,0.0,227.0
Ahmedabad,2015-11-12,91.41,0.0,23.45,25.44,5.19,6.25,5.19,28.63,0.0,227.0
Ahmedabad,2015-12-01,91.41,0.0,40.67,51.84,52.04,45.89,52.04,90.24,0.0,227.0
Ahmedabad,2015-12-02,65.04,0.0,30.1,65.91,14.19,31.88,14.19,44.21,0.0,288.0
Ahmedabad,2015-12-03,106.01,0.0,27.31,70.29,4.28,40.91,4.28,30.54,0.0,252.0
Ahmedabad,2015-12-04,39.42,0.0,19.56,17.66,5.28,31.3,5.28,24.66,0.0,175.0
Ahmedabad,2015-12-05,65.39,0.0,16.08,27.96,12.3,22.35,12.3,27.86,0.0,233.0
Ahmedabad,2015-12-06,43.58,0.0,13.33,1.02,8.26,7.56,8.26,21.58,0.0,226.0
Ahmedabad,2015-12-07,86.57,0.0,0.17,11.09,11.47,6.53,11.47,11.64,0.0,300.0
Ahmedabad,2015-12-08,41.37,0.0,20.2,11.73,7.47,19.8,7.47,27.68,0.0,179.0
Ahmedabad,2015-12-09,46.93,0.0,11.47,7.92,7.14,19.03,7.14,18.61,0.0,209.0
Ahmedabad,2015-12-10,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
Ahmedabad,2015-12-11,95.9,0.0,33.63,30.06,10.38,27.34,10.38,44.01,0.0,316.0
